index,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,pitch,roll,kf_pitch,kf_roll
0,0.16,0.03,1.07,-3.41,0.38,0.08,-8.47,1.55,-3.00,0.34
1,0.16,0.03,1.06,-3.34,0.32,0.02,-8.36,1.71,-4.69,0.55
2,0.15,0.03,1.06,-3.15,0.27,0.05,-8.30,1.73,-5.75,0.68
3,0.16,0.03,1.06,-3.15,0.50,0.04,-8.34,1.60,-6.47,0.73
4,0.16,0.03,1.07,-3.41,0.41,0.11,-8.31,1.69,-6.97,0.76
5,0.15,0.03,1.06,-3.20,0.53,-0.12,-8.17,1.71,-7.28,0.80
6,0.15,0.02,1.07,-3.13,0.96,-0.18,-8.13,1.10,-7.45,0.66
7,0.17,0.03,1.07,-3.30,0.38,0.29,-8.84,1.38,-7.82,0.63
8,0.16,0.03,1.06,-3.37,0.36,0.32,-8.62,1.72,-8.02,0.69
9,0.16,0.03,1.07,-3.19,-0.55,-0.23,-8.29,1.82,-8.13,0.78
10,0.15,0.04,1.06,-2.62,1.50,0.32,-8.23,1.91,-8.05,0.91
11,0.58,0.40,1.80,250.13,53.09,-250.14,-17.53,12.51,-6.92,22.14
12,0.41,0.34,1.63,-250.14,92.08,250.13,-13.84,11.65,-2.27,1.23
13,-0.89,-0.31,0.97,250.13,178.92,31.95,41.09,-18.06,22.82,13.73
14,-0.33,0.34,2.00,-250.14,73.39,250.13,9.37,9.71,24.28,-5.36
15,-0.19,0.44,1.34,-5.44,49.15,-21.21,7.61,18.11,23.10,0.88
16,-0.64,-0.71,0.62,250.13,6.27,-250.14,33.94,-48.84,26.61,4.79
17,-0.61,0.93,0.77,-250.14,1.37,63.56,26.81,50.22,26.77,-0.33
18,-0.02,-0.44,1.70,-65.08,-108.40,59.85,0.75,-14.52,11.64,-9.01
19,-0.25,-2.00,2.00,174.37,28.49,-29.37,5.02,-45.00,11.81,-6.66
20,-0.44,-2.00,2.00,133.35,126.70,142.72,8.77,-45.00,20.05,-7.92
21,-0.67,-2.00,1.84,186.52,143.20,76.46,13.82,-47.37,28.57,-5.67
22,-0.67,-2.00,2.00,250.13,69.69,-26.53,13.27,-45.00,29.25,1.17
23,-0.32,-1.93,2.00,250.13,-1.92,-68.69,6.50,-43.96,22.69,6.38
24,-0.81,0.32,1.70,250.13,246.06,114.53,25.02,10.56,41.00,25.51
25,-0.45,0.67,-0.38,90.34,11.92,-25.15,30.11,119.33,38.78,58.49
